,hypernode,vertex_list,normalized_text
0,1,"('4', '8', '80', '77', '74', '73', '1', '72', '70', '78', '7', '75')","['I', 'hope', 'thi', 'wo', ""n't"", 'affect', 'movi', 'delhi', 'case', '500', '%', 'last', '15', 'day', ""'covid"", 'spread', ""'"", 'increas', '500', '%', 'last', '15', 'day', 'among', 'delhi', 'ncr', 'resid', 'claim', 'survey', 'delhi', 'saturday', 'record', 'gravita', 'petrol', 'diesel', 'price', 'soar', 'india', 'wion', 'petrol', 'diesel', 'costlier', 'By', 'nearli', 'A', 'rupe', '14th', 'hike', 'In', '16', 'day', 'ndtv', 'petrol', 'diesel', 'price', 'hike', '80', 'pais', 'total', 'increas', 'Rs', '10', 'litr', '16', 'day', 'econom', 'time', 'l', 'cng', 'price', 'today', 'cng', 'nation', 'capit', 'territori', '(', 'nct', ')', 'delhi', 'cost', 'Rs', '69.11', 'per', 'kg', 'Rs', '66.61', 'per', 'kg', 'accord', 'inform', 'post', 'websit', 'indraprastha', 'ga', 'ltd', '(', 'igl', ')', 'firm', 'retail', 'cng', 'pipe', 'cook', 'ga', 'th', 'petrol', 'diesel', 'price', 'hike', 'today', 'latest', 'new', 'petrol', 'price', 'delhi', 'stand', 'Rs', '105.41', 'per', 'litr', 'diesel', 'avail', 'Rs', '96.67', 'In', 'mumbai', 'petrol', 'retail', 'Rs', '120.51', 'diesel', 'cost', 'Rs', '104.77', 'click', 'find', 'fuel', 'price', 'citi', 'petrol', 'diesel', 'price', 'hike', 'today', 'latest', 'new', 'petrol', 'price', 'delhi', 'stand', 'Rs', '105.41', 'per', 'litr', 'diesel', 'avail', 'Rs', '96.67', 'In', 'mumbai', 'petrol', 'retail', 'Rs', '120.51', 'diesel', 'cost', 'Rs', '104.77', 'click', 'find', 'fuel', 'price', 'citi', 'manozkumartalk', 'I', 'hope', 'thi', 'wo', ""n't"", 'affect', 'movi', 'delhi', 'case', '500', '%', 'last', '15', 'day', 'petrol', 'diesel', 'price', 'hike', 'today', 'latest', 'new', 'petrol', 'price', 'delhi', 'stand', 'Rs', '105.41', 'per', 'litr', 'diesel', 'avail', 'Rs', '96.67', 'In', 'mumbai', 'petrol', 'retail', 'Rs', '120.51', 'diesel', 'cost', 'Rs', '104.77', 'click', 'find', 'fuel', 'price', 'citi', 'onlin', 'ticket', 'platform', 'entertain', 'destin', 'record', 'highest', 'ever', 'sale', 'movi', 'ticket', 'march', 'thi', 'year', 'thank', 'hit', 'ventur', 'like', 'RR', 'kashmir', 'file', 'ga', 'price', 'surg', 'amid', 'russia', ""'s"", 'invas', 'inflat', 'rise', 'US', 'presid', 'unveil', 'new', 'plan', 'corn', 'base', 'fuel', 'covid', '19', 'india', 'new', 'live', ""'covid"", 'spread', ""'"", 'increas', '500', '%', 'last', '15', 'day', 'among', 'delhi', 'ncr', 'resid', 'claim', 'sur', 'speak', 'lok', 'sabha', 'dure', 'zero', 'hour', 'ray', 'said', 'petrol', 'diesel', 'rate', 'countri', 'sharpli', 'increas', 'latest', 'round', 'fuel', 'price', 'hike', 'oil', 'market', 'compani']"
1,2,"('24', '94', '16', '83', '87', '81', '96', '82', '95')","['secur', 'new', 'thi', 'week', 'north', 'korea', ""'s"", 'lazaru', 'group', 'wa', 'behind', '$', '540', 'million', 'ronin', 'theft', 'infosec', 'cybersecur', 'analysi', 'musk', 'past', 'muse', 'twitter', 'show', 'desir', 'reshap', 'essenc', 'busi', 'model', 'elon', 'musk', 'offer', 'buy', 'twitter', '$', '40bn', 'It', 'turn', 'goblin', 'mode', 'last', 'week', 'elon', 'musk', 'hi', 'characteristica', 'A', 'blockchain', 'expert', 'explain', 'north', 'korea', '$', '625', 'million', 'crypto', 'hack', 'present', 'new', 'nation', 'secur', 'threat', 'elon', 'musk', 'recent', 'bought', '9.2', '%', 'stake', 'twitter', 'ha', 'made', 'offer', 'buy', 'compani', 'outright', '$', '54.20', 'per', 'share', 'cash', 'hostil', 'takeov', 'roughli', '$', '43', 'billion', 'accord', 'new', 'bloomberg', 'new', 'document', 'file', 'sec', 'musk', 'said', 'new', 'broke', 'thi', 'week', 'musk', 'taken', '9', '%', 'stake', 'compani', 'becom', 'singl', 'largest', 'sharehold', 'musk', 'poll', 'user', 'whether', 'want', 'abil', 'edit', 'tweet', 'elon', 'musk', 'tesla', ""'s"", 'ceo', 'becam', 'largest', 'sharehold', 'twitter', 'ha', 'tweet', 'possibl', 'chang', 'compani', 'tesla', 'bos', 'ha', '9.2', '%', 'stake', 'social', 'network', 'offer', 'suggest', 'critic', 'seri', 'tweetselon', 'musk', 'ha', 'set', 'hi', 'vision', 'twitter', 'buy', '9.2', '%', 'stake', 'compani', 'seri', 'post', 'social', 'network', 'describ', 'elon', 'musk', 'world', 'wealthiest', 'man', 'offer', 'take', 'twitter', 'privat', 'roughli', '$', '43', 'billion', 'verg', 'staff', 'wonder', 'el', 'could', 'buy', 'kind', 'cash', 'twitter', '(', 'twtr.n', ')', 'wast', 'time', 'tesla', '(', 'tsla.o', ')', 'chief', 'execut', 'elon', 'musk', 'disclos', '9', '%', 'stake', 'rough']"
2,3,"('54', '59', '27', '48', '30', '52', '51', '86', '79', '62', '49', '90', '88', '89', '50', '47', '25', '26', '58', '57', '17', '28', '29', '53', '55')","['pakistan', 'parliament', 'elect', 'opposit', 'leader', 'shahbaz', 'sharif', 'prime', 'minist', 'imran', 'khan', 'lost', 'support', 'lawmak', 'militari', 'spokesman', 'reject', 'former', 'PM', 'imran', 'khan', ""'s"", 'alleg', 'US', 'conspir', 'toppl', 'hi', 'govern', 'academi', 'motion', 'pictur', 'art', 'scienc', 'announc', 'sanction', 'actor', 'smith', 'slap', 'comedian', 'chri', 'rock', 'stage', 'recent', 'oscar', 'ceremoni', 'pakistan', ""'s"", 'power', 'militari', 'thursday', 'dismiss', 'oust', 'prime', 'minist', 'imran', 'khan', ""'s"", 'accus', 'unit', 'state', 'conspir', 'toppl', 'parliamentari', 'vote', 'confid', 'smith', 'event', 'whi', 'matter', 'christian', 'post', 'hollywood', 'publicist', 'feel', 'job', 'oscar', 'slap', 'washington', 'post', 'smith', 'oscar', 'crisi', 'handl', 'inner', 'circl', 'fight', 'save', 'actor', ""'s"", 'brand', 'pakistan', 'prime', 'minist', 'imran', 'khan', 'face', 'confid', 'vote', 'parliament', 'saturday', 'wide', 'expect', 'lose', 'upheav', 'come', 'economi', 'deep', 'troubl', 'mean', 'countri', 'close', 'involv', 'pakistan', 'pakistan', ""'s"", 'polit', 'opposit', 'oust', 'embattl', 'prime', 'minist', 'imran', 'khan', 'confid', 'vote', 'sever', 'khan', ""'s"", 'alli', 'desert', 'tesla', 'inc', '(', 'tsla.o', ')', 'ceo', 'elon', 'musk', 'thursday', 'step', 'critic', 'u.s.', 'secur', 'regul', 'call', 'secur', 'exchang', 'commiss', 'offici', 'bastard', 'bring', 'fraud', 'charg', 'taxi', 'cab', 'union', 'hold', 'protest', 'sinc', 'april', '8', 'demand', 'reduct', 'fuel', 'price', 'autorickshaw', 'union', 'held', 'protest', 'monday', 'demand', 'Rs', '35', 'subsidi', 'cng', 'rate', 'target', 'modi', 'led', 'govern', 'kashmir', 'file', 'ncp', 'chief', 'sharad', 'pawar', 'ha', 'said', 'unfortun', 'peopl', 'power', 'promot', 'film', 'address', 'ncp', 'worker', 'sunday', 'former', 'union', 'minist', 'claim', 'effort', 'made', 'creat', 'imran', 'khan', 'call', 'hi', 'support', 'take', 'street', 'protest', 'polit', 'opposit', 'prepar', 'instal', 'hi', 'replac', 'happen', 'elon', 'musk', 'join', 'twitter', ""'s"", 'board', 'ctv', 'new', 'elon', 'musk', 'drop', 'twitter', 'board', 'busi', 'new', 'latest', 'english', 'new', 'wion', 'wion', 'tesla', 'ceo', 'elon', 'musk', 'wo', ""n't"", 'join', 'twitter', ""'s"", 'board', 'busi', 'N', 'tesla', 'ceo', 'elon', 'musk', 'wo', ""n't"", 'join', 'twitter', ""'s"", 'board', 'cp24', 'toronto', ""'s"", 'break', 'new', 'elon', 'musk', 'drop', 'twitter', 'board', 'busi', 'new', 'latest', 'english', 'new', 'wion', 'wion', 'happen', 'elon', 'musk', 'join', 'twitter', ""'s"", 'musk', 'longer', 'join', 'twitter', 'board', 'director', 'ctv', 'new', 'elon', 'musk', 'declin', 'join', 'twitter', 'board', 'director', 'fox', 'busi', 'elon', 'musk', 'propos', 'twitter', 'blue', 'subscript', 'shakeup', 'day', 'disclos', '9.2', '%', 'stake', 'globe', 'Ma', 'sharif', 'sworn', 'pakistan', ""'s"", 'new', 'PM', 'week', 'drama', 'cp24', 'toronto', ""'s"", 'break', 'new', 'pakistan', ""'s"", 'parliament', 'vote', 'shehbaz', 'sharif', 'PM', 'imran', 'khan', ""'s"", 'ouster', 'cbc', 'new', 'pakistan', 'parliament', 'elect', 'opposit', 'leader', 'prime', 'mi', 'pakistan', ""'s"", 'top', 'court', 'wednesday', 'hear', 'prime', 'minist', 'imran', 'khan', ""'s"", 'legal', 'team', 'defend', 'hi', 'bid', 'block', 'opposit', 'bid', 'oust', 'move', 'hi', 'critic', 'say', 'wa', 'unconstitut', 'ha', 'usher', 'new', 'phase', 'polit', 'turmoil', 'despit', 'actor', ""'s"", 'resign', 'academi', 'impos', 'hefti', 'decad', 'long', 'punish', 'smith', 'follow', 'hi', 'oscar', 'slap', 'chri', 'rock', 'lo', 'angel', '(', 'AP', ')', 'motion', 'pictur', 'academi', 'friday', 'ban', 'smith', 'attend', 'oscar', 'ani', 'academi', 'event', '10', 'year', 'follow', 'hi', 'slap', 'chri', 'rock', 'academi', 'award', 'anticip', 'hi', 'loss', 'khan', 'charg', 'hi', 'opposit', 'collud', 'unit', 'state', 'unseat', 'ha', 'call', 'hi', 'support', 'stage', 'ralli', 'nationwid', 'sunday', 'multipl', 'petit', 'challeng', 'prime', 'minist', 'khan', 'decis', 'dissolv', 'parliament', 'amid', 'polit', 'turmoil', 'north', 'korea', 'feel', 'left', ""everybody't"", 'talk', 'ukrain', 'thi', 'would', ""n't"", 'happen', 'trump', 'still', 'presid', 'billi', 'crystal', 'smith', 'slap', 'chri', 'rock', 'wa', ""'assault"", ""'"", 'insid', 'poll', 'american', 'disapprov', 'smith', 'hit', 'chri', 'rock', 'week', 'follow', 'oscar', 'incid', 'yahoo', 'entertain', 'smith', 'oscar', 'slap', 'ha', 'ni', 'bodi', 'decid', 'action', 'taken', 'smith', 'resign', 'academi', 'friday', 'pakistan', ""'s"", 'parliament', 'wa', 'set', 'meet', 'monday', 'elect', 'new', 'prime', 'minist', 'opposit', 'leader', 'shehbaz', 'sharif', 'favourit', 'win', 'week', 'long', 'constitut', 'crisi', 'climax', 'sunday', 'imran', 'khan', 'lost', 'confid', 'vote', 'pakistan', ""'s"", 'prime', 'minist', 'imran', 'khan', 'due', 'address', 'nation', 'friday', 'suprem', 'court', 'rule', 'act', 'unconstitut', 'block', 'attempt', 'oust', 'decis', 'could', 'end', 'hi', 'premiership', 'day']"
3,4,"('23', '18', '20', '19')","['north', 'korea', 'test', 'new', 'weapon', ""'to"", 'improv', 'tactic', 'nuke', ""'"", 'north', 'korea', 'ha', 'test', 'fire', 'new', 'weapon', 'system', 'supervis', 'leader', 'kim', 'jong', 'un', 'claim', 'b', 'north', 'korea', 'test', 'new', 'weapon', ""'to"", 'improv', 'tactic', 'nuke', ""'"", 'north', 'korea', 'claim', 'test', 'new', 'tactic', 'weapon', 'capabl', 'carri', 'nuclear', 'warhead']"
4,5,"('38', '40', '42', '43')","['alia', 'bhatt', 'ranbir', 'kapoor', ""'s"", 'pre', 'wed', 'function', 'start', 'mumbai', 'kareena', 'kapoor', 'karisma', 'kapoor', 'karan', 'johar', 'ayan', 'mukerji', 'click', 'arriv', 'festiv', 'soon', 'wed', 'ranbir', 'kapoor', 'sister', 'riddhima', 'kapoor', 'wa', 'spot', 'mumbai', 'airport', 'tuesday', 'ranbir', 'kapoor', 'alia', 'bhatt', 'tie', 'knot', 'today', 'intim', 'ceremoni', 'mumbai', 'alia', ""'s"", 'gorgeou', 'ring', 'mangalsutra', 'spot', 'mani', 'photo', 'wed', 'circul', 'onlin', ""'aap4mumbai"", ""'"", 'account', 'instagram', 'post', 'wednesday', 'share', 'pictur', 'celebr', 'coupl', 'ask', 'user', 'swipe', 'right', 'find', 'ha', 'invit', 'much', 'anticip', 'bollywood', 'celebr', 'wed']"
5,6,"('36',)","['smith', 'oscar', 'best', 'actor', 'hi', 'role', 'king', 'richard', 'thi', 'year', ""'s"", 'ceremoni']"
6,7,"('14',)","['davidfrum', 'It', 'russia', 'ukrain', 'war', ""'s"", 'dictatorship', 'VS', 'democraci', 'war']"
7,8,"('33',)","['u', 'remind', 'yesterday', 'andrew', 'garfield', 'alyssa', 'milano', 'miller', 'thing', 'rumor', 'came', 'say', 'longer', 'thing', 'broken', 'wait', ""'re"", 'hear', 'may', 'broken', 'toss', 'fe']"
8,9,"('12',)","['mohangroovygran', 'Do', 'think', 'russian', 'worri', 'miseri', 'inflict', 'peopl', 'ukrain']"
9,10,"('13',)","['mc', 'deana1', 'wa', 'congress', 'respons', 'ukrain', ""'s"", 'cri', 'help']"
10,11,"('68',)","['union', 'educ', 'minist', 'dharmendra', 'pradhan', 'deliv', 'inaugur', 'speech', 'india', 'educ', 'summit', '2022', 'organis', 'indian', 'express', 'said', 'youth', 'countri', 'need', 'prepar', 'becom', 'job', 'creator', 'instead', 'job', 'seeker', 'beco']"
11,12,"('76',)","['As', 'price', 'summer', 'essenti', 'commod', 'soar', 'high', 'netizen', 'field', 'day', 'hilari', 'meme']"
12,13,"('2',)","['globaltimesnew', 'may', 'much', '4', 'million', 'report', 'indian', 'report', 'previous']"
13,14,"('84',)","['newest', 'member', 'twitter', ""'s"", 'board', 'director', 'tweet', 'Is', 'twitter', 'die', 'would', 'elon', 'musk', ""'d"", 'preced', 'question', 'list', 'twitter', ""'s"", 'ten', 'follow', 'account', 'note', 'tweet', 'rare', 'post', 'veri', 'littl', 'content']"
14,15,"('9',)","['spread', 'follow', 'stand', 'ukrain', 'ask', 'US', 'govern', 'real', 'support', 'heavi', 'weapon', 'Uk']"
15,16,"('11',)","['ukrain', 'reject', 'deadlin', 'surrend', 'mariupol', 'russia', 'threaten', 'elimin', 'resist']"
16,17,"('64',)","['twinkl', 'khanna', 'share', 'first', 'tweet', 'sinc', 'column', ""'the"", 'kashmir', 'file', 'wave', ""'"", 'wa', 'publish', 'twinkl', 'spoke', 'allow', 'naysay', 'pull']"
17,18,"('97',)",['nan']
18,19,"('69',)","['In', 'vivek', 'agnihotri', 'recent', 'film', 'kashmir', 'file', 'frenzi', 'crowd', 'muslim', 'chant', 'raliv', 'galiv', 'chaliv', '(', 'convert', 'leav', 'die', ')', 'hindu', 'pandit', 'famili', 'cower', 'home', 'band', 'islam', 'milit', 'gun', 'secur', 'personnel', 'walk']"
19,20,"('6',)","['india', 'saturday', 'question', 'methodolog', 'estim', 'covid', '19', 'death', 'toll', 'countri', 'state']"
20,21,"('0',)","['two', 'year', 'lockdown', 'covid', '19', 'surg', 'muslim', 'worldwid', 'observ', 'holi', 'month', 'ramadan', 'mu']"
21,22,"('37',)","['creativ', 'artist', 'agenc', '(', 'caa', ')', 'ha', 'deni', 'wa', 'turmoil', 'compani', 'decis', 'drop', 'smith', 'roster']"
22,23,"('67',)","['ohio', 'state', 'senat', 'niraj', 'atani', 'said', 'citat', 'honour', 'vivek', 'agnihotri', 'hi', 'work', 'kashmir', 'file', 'depict', 'genocid', 'kashmiri', 'pandit', 'indigen', 'homeland']"
23,24,"('98',)","['skdlfjldsvf', 'dfkldlgkjdfkjgk', 'jdskfldjkvdf', 'jskdfkfkklsd']"
24,25,"('63',)","['call', 'untold', 'kashmir', 'file', 'refer', 'recent', 'releas', 'kashmir', 'file', 'video', 'J', '&', 'K', 'polic', 'offic', 'told', 'indian', 'express', 'attempt', 'reach', 'citizen', 'understand', 'pain', 'togeth', 'thi', 'fight', 'aga']"
25,26,"('34',)","['actor', 'smith', ""'s"", 'oscar', 'ban', 'wa', 'met', 'mix', 'review', 'film', 'academi', 'wa', 'call', 'make', 'exampl', 'black', 'man', 'lax']"
26,27,"('22',)","['expert', 'blame', 'obama', 'north', 'korea', ""'s"", 'new', 'nuke', 'sound', 'familiar', 'obama', 'biden', 'iran', 'second', 'holocaust', 'com']"
27,28,"('3',)","['india', 'object', ""'s"", 'methodolog', 'calcul', 'covid', '19', 'death', 'toll', 'read', 'At']"
28,29,"('35',)","['In', 'letter', 'academi', 'presid', 'david', 'rubin', 'said', 'meet', 'would', 'take', 'place', 'april', '8', 'rather', 'april', '18', 'follow', 'smith', ""'s"", 'resign']"
29,30,"('93',)","['twitter', '(', 'twtr.n', ')', 'histori', 'rich', 'plot', 'twist', 'soap', 'opera', 'short', 'live', 'episod', 'elon', 'musk', 'join', 'decid', 'join', 'social', 'medium', 'firm', 'board', 'ha', 'onc']"
30,31,"('92',)","['musk', 'ha', 'long', 'advoc', 'libertarian', 'vision', 'uncontrol', 'internet', 'also', 'dream', 'everi', 'dictat', 'strongman', 'demagogueth', 'russian', 'peopl', 'know', 'littl', 'putin', 'war', 'ukrain', 'becaus', 'putin', 'ha', 'block', 'access', 'truth', 'substi']"
31,32,"('66',)","['agenc', 'file', 'chargesheet', 'patiala', 'hous', 'court', '25', 'accus', 'person', 'terror', 'conspiraci', 'case', 'section', '120b', '121a', 'ipc', 'section', '18', '20', '38', '39', 'uapa', 'accus', 'arrest', 'follow', 'kill', 'civilian']"
32,33,"('5',)","['peopl', 'get', 'test', 'mask', 'mandat', 'Be', 'brought', 'back', 'doctor', 'covid', '19', 'situat', 'delhi']"
33,34,"('46',)","['soar', 'inflat', 'war', 'ukrain', 'yet', 'anoth', 'rise', 'covid', 'case', 'much', 'go', 'thi', 'year', ""'s"", 'hard', 'focu', 'thing', 'like', 'file', 'tax', 'nevertheless', 'ir', 'still', 'expect', 'file', '2021', 'return', 'pay', 'whatev', 'still', 'owe']"
34,35,"('45',)","['ranbir', 'kapoor', 'alia', 'bhatt', 'wed', 'actress', 'skip', 'chooda', 'ceremoni', 'due', 'hollywood', 'debut', 'report', 'pinkvilla', 'bollywood', 'mega', 'star', 'alia', 'bhatt', 'ranbir', 'kapoor', 'wed', 'intim', 'mumbai', 'ceremoni', 'cnn', 'ralia', 'wed', 'alia', 'bhatt', 'ditc']"
35,36,"('39',)","['alia', 'ranbir', 'expect', 'tie', 'knot', 'april', '14', 'kapoor', 'clan', 'bhatt', 'maintain', 'stoic', 'silenc', 'wed', 'date', 'venu']"
36,37,"('71',)","['vivek', 'agnihotri', 'say', ""'time"", 'work', 'delhi', 'file', ""'"", 'kashmir', 'file', 'success', 'india', 'today', 'kashmir', 'file', 'filmmak', 'reveal', 'hi', 'next', 'delhi', 'file', 'ndtv', 'delhi', 'file', '1984', 'delhi', 'file', 'stori', 'delhi', 'file']"
37,38,"('61',)","['video', 'wa', 'post', 'J', '&', 'K', 'polic', 'offici', 'twitter', 'account', 'march', '31', 'incident', 'april', '4', 'valley', 'wit', 'fresh', 'spurt', 'attack', 'migrant', 'kashmiri', 'pandit']"
38,39,"('60',)","['popular', 'bollywood', 'film', 'attempt', 'construct', 'truth', 'kashmir', 'carcass', 'fact']"
39,40,"('41',)","['ranbir', 'kapoor', 'alia', 'bhatt', 'expect', 'tie', 'knot', 'thi', 'week', 'accord', 'alia', ""'s"", 'stepbroth', 'rahul', 'secur', 'arrang', 'stringent', '200', 'bouncer', 'hire', 'special', 'day']"
40,41,"('56',)","['imran', 'khan', 'ha', 'claim', 'unit', 'state', 'work', 'behind', 'scene', 'bring']"
41,42,"('10',)","['surrend', 'say', 'put', 'weapon', 'guarante', 'keep', 'live', 'ukrain', 'remain', 'defiant']"
42,43,"('31',)","['He', 'remain', 'elig', 'nomin', 'win']"
43,44,"('21',)","['In', 'totalitarian', 'regim', 'like', 'north', 'korea', 'child', 'taught', 'kill', 'american', 'even', 'befor', 'grade', 'school', 'give']"
44,45,"('44',)","['rumour', 'rife', 'coupl', 'set', 'get', 'hitch', 'around', 'april', '13', '2022', 'mumbai', 'onli', 'close', 'friend', 'famili', 'attend']"
45,46,"('85',)","['cute', 'littl', 'twitter', 'bird', 'ha', 'teeth', 'today', 'compani', 'announc', 'ha', 'poison', 'local', 'water', 'hole', 'hope', 'stall', 'elon', 'musk', 'seek', 'swallow', 'social', 'medium', 'compani', 'hostil', 'takeover.read']"
46,47,"('65',)","['follow', 'success', 'kashmir', 'file', 'vivek', 'agnihotri', 'pallavi', 'joshi', 'abhishek', 'agarw', 'come', 'togeth', 'produc', 'two', 'film']"
47,48,"('32',)","['I', 'told', 'joke', 'hi', 'wife', 'hair', 'comedian', 'said', 'refer', 'smith', 'I', 'told', 'joke', 'boyfriend']"
48,49,"('15',)","['tbef312', 'dailymail', 'exploit', 'capit', 'I', 'would', 'much', 'rather', 'part', 'peopl', ""'s"", 'republ', 'chi']"
49,50,"('91',)","['look', 'forward', 'work', 'parag', '&', 'twitter', 'board', 'make', 'signific', 'improv', 'twitter', 'come', 'month', 'musk', 'said']"
