,from_article,to_article,similarity_score
0,0,0,0.9999999403953552
1,0,1,0.7349451780319214
2,0,2,0.6568180322647095
3,0,3,0.6172302961349487
4,0,4,0.7143793702125549
5,0,5,0.6244472861289978
6,0,6,0.6078769564628601
7,0,7,0.7490972876548767
8,0,8,0.6579791903495789
9,0,9,0.7223352193832397
10,0,10,0.784769594669342
11,0,11,0.661041259765625
12,0,12,0.7611554265022278
13,0,13,0.7171460390090942
14,0,14,0.6524953246116638
15,0,15,0.6180611848831177
16,0,16,0.7345772385597229
17,0,17,0.3760159611701965
18,0,18,0.69785076379776
19,0,19,0.7046846151351929
20,0,20,0.6897068023681641
21,0,21,0.7289134860038757
22,0,22,0.7575889825820923
23,0,23,0.6058970093727112
24,0,24,0.7432993054389954
25,0,25,0.6594271063804626
26,0,26,0.6780253648757935
27,0,27,0.7534206509590149
28,0,28,0.7021785974502563
29,0,29,0.6702937483787537
30,0,30,0.7091555595397949
31,0,31,0.6645420789718628
32,0,32,0.6741257905960083
33,0,33,0.7751944661140442
34,0,34,0.7017579078674316
35,0,35,0.7336953282356262
36,0,36,0.7103850841522217
37,0,37,0.7049136757850647
38,0,38,0.6435731649398804
39,0,39,0.7664661407470703
40,0,40,0.6786019206047058
41,0,41,0.5860350728034973
42,0,42,0.609212338924408
43,0,43,0.639201283454895
44,0,44,0.7160427570343018
45,0,45,0.7342805862426758
46,0,46,0.6588549613952637
47,0,47,0.4546308517456054
48,0,48,0.6768559217453003
49,0,49,0.703305721282959
50,1,0,0.7349451780319214
51,1,1,1.000000238418579
52,1,2,0.7201763391494751
53,1,3,0.8102623820304871
54,1,4,0.7174501419067383
55,1,5,0.6255375146865845
56,1,6,0.7028111815452576
57,1,7,0.8228369951248169
58,1,8,0.7262454032897949
59,1,9,0.7221770882606506
60,1,10,0.8046852350234985
61,1,11,0.6052936315536499
62,1,12,0.8015841841697693
63,1,13,0.8266419172286987
64,1,14,0.7140858173370361
65,1,15,0.6465793251991272
66,1,16,0.7766854763031006
67,1,17,0.3586620092391968
68,1,18,0.7189322710037231
69,1,19,0.7248702049255371
70,1,20,0.7131841778755188
71,1,21,0.7391689419746399
72,1,22,0.7092676162719727
73,1,23,0.5872390270233154
74,1,24,0.7861533164978027
75,1,25,0.6860460042953491
76,1,26,0.8320156335830688
77,1,27,0.681983470916748
78,1,28,0.7629669904708862
79,1,29,0.7632735371589661
80,1,30,0.8354798555374146
81,1,31,0.7092177867889404
82,1,32,0.7034072875976562
83,1,33,0.8434476256370544
84,1,34,0.7116191387176514
85,1,35,0.7562924027442932
86,1,36,0.7720854878425598
87,1,37,0.8507554531097412
88,1,38,0.6351315975189209
89,1,39,0.8116273283958435
90,1,40,0.7237405776977539
91,1,41,0.6194605827331543
92,1,42,0.5723429322242737
93,1,43,0.7855754494667053
94,1,44,0.7966036796569824
95,1,45,0.731713056564331
96,1,46,0.6836748123168945
97,1,47,0.5728785991668701
98,1,48,0.7868988513946533
99,1,49,0.8460410237312317
100,2,0,0.6568180322647095
101,2,1,0.7201763391494751
102,2,2,0.9999998807907104
103,2,3,0.7021093368530273
104,2,4,0.6692109107971191
105,2,5,0.5563479065895081
106,2,6,0.7543919682502747
107,2,7,0.6898555159568787
108,2,8,0.6671260595321655
109,2,9,0.7532936334609985
110,2,10,0.7856279611587524
111,2,11,0.4808975458145141
112,2,12,0.6906731128692627
113,2,13,0.6659066081047058
114,2,14,0.7564636468887329
115,2,15,0.7187445759773254
116,2,16,0.7642286419868469
117,2,17,0.3142497539520263
118,2,18,0.8193915486335754
119,2,19,0.6211026310920715
120,2,20,0.6352492570877075
121,2,21,0.7115070819854736
122,2,22,0.7443686127662659
123,2,23,0.5383032560348511
124,2,24,0.8119017481803894
125,2,25,0.6808816194534302
126,2,26,0.7784978151321411
127,2,27,0.7393675446510315
128,2,28,0.779564619064331
129,2,29,0.6624224781990051
130,2,30,0.8048197031021118
131,2,31,0.7455266118049622
132,2,32,0.714352011680603
133,2,33,0.7698931694030762
134,2,34,0.6563646793365479
135,2,35,0.7477092742919922
136,2,36,0.721826434135437
137,2,37,0.7256757020950317
138,2,38,0.6234780550003052
139,2,39,0.7188710570335388
140,2,40,0.7777142524719238
141,2,41,0.6802650690078735
142,2,42,0.5594775080680847
143,2,43,0.7427404522895813
144,2,44,0.7036960124969482
145,2,45,0.6314436197280884
146,2,46,0.6565091609954834
147,2,47,0.5063175559043884
148,2,48,0.7218732237815857
149,2,49,0.6760663986206055
150,3,0,0.6172302961349487
151,3,1,0.8102623820304871
152,3,2,0.7021093368530273
153,3,3,1.0
154,3,4,0.6415804028511047
155,3,5,0.5754432082176208
156,3,6,0.7042921185493469
157,3,7,0.687610387802124
158,3,8,0.6622834205627441
159,3,9,0.6244860887527466
160,3,10,0.7484524846076965
161,3,11,0.4747366309165954
162,3,12,0.6425060033798218
163,3,13,0.6525583267211914
164,3,14,0.7499880194664001
165,3,15,0.6463265419006348
166,3,16,0.6790275573730469
167,3,17,0.3127842247486114
168,3,18,0.6662890911102295
169,3,19,0.4954426884651184
170,3,20,0.5222371816635132
171,3,21,0.6595363020896912
172,3,22,0.6808068156242371
173,3,23,0.5252490639686584
174,3,24,0.7660059332847595
175,3,25,0.6244469881057739
176,3,26,0.877576470375061
177,3,27,0.6024132370948792
178,3,28,0.6362392902374268
179,3,29,0.6327128410339355
180,3,30,0.775234580039978
181,3,31,0.667283833026886
182,3,32,0.6814765930175781
183,3,33,0.7544991970062256
184,3,34,0.635106086730957
185,3,35,0.6492950320243835
186,3,36,0.6759828329086304
187,3,37,0.6489535570144653
188,3,38,0.6365161538124084
189,3,39,0.6411804556846619
190,3,40,0.7027395963668823
191,3,41,0.6674289703369141
192,3,42,0.6033686399459839
193,3,43,0.82441246509552
194,3,44,0.6294249296188354
195,3,45,0.6476584076881409
196,3,46,0.6682977676391602
197,3,47,0.5096498727798462
198,3,48,0.611573338508606
199,3,49,0.6408356428146362
200,4,0,0.7143793702125549
201,4,1,0.7174501419067383
202,4,2,0.6692109107971191
203,4,3,0.6415804028511047
204,4,4,1.0
205,4,5,0.6079710125923157
206,4,6,0.5771677494049072
207,4,7,0.7501407861709595
208,4,8,0.6430380344390869
209,4,9,0.6908431053161621
210,4,10,0.832298994064331
211,4,11,0.6306241750717163
212,4,12,0.6744300127029419
213,4,13,0.727368175983429
214,4,14,0.729739248752594
215,4,15,0.589167594909668
216,4,16,0.7515089511871338
217,4,17,0.4620605707168579
218,4,18,0.7468090057373047
219,4,19,0.640324592590332
220,4,20,0.6445556282997131
221,4,21,0.6972885131835938
222,4,22,0.7260241508483887
223,4,23,0.5685616731643677
224,4,24,0.7670401334762573
225,4,25,0.5971851348876953
226,4,26,0.6539833545684814
227,4,27,0.707680344581604
228,4,28,0.6826574802398682
229,4,29,0.7552365660667419
230,4,30,0.6776657104492188
231,4,31,0.5893029570579529
232,4,32,0.6967763900756836
233,4,33,0.733599841594696
234,4,34,0.8515217304229736
235,4,35,0.7733646631240845
236,4,36,0.7757341861724854
237,4,37,0.710715651512146
238,4,38,0.714320182800293
239,4,39,0.792351484298706
240,4,40,0.7133780121803284
241,4,41,0.6445081233978271
242,4,42,0.6297503709793091
243,4,43,0.6651084423065186
244,4,44,0.7865580320358276
245,4,45,0.7252019643783569
246,4,46,0.7869179248809814
247,4,47,0.6861175894737244
248,4,48,0.6868410110473633
249,4,49,0.7162520289421082
250,5,0,0.6244472861289978
251,5,1,0.6255375146865845
252,5,2,0.5563479065895081
253,5,3,0.5754432082176208
254,5,4,0.6079710125923157
255,5,5,1.000000238418579
256,5,6,0.5172632336616516
257,5,7,0.6494585275650024
258,5,8,0.4947317838668823
259,5,9,0.5561832189559937
260,5,10,0.6833539605140686
261,5,11,0.5368648171424866
262,5,12,0.6162319183349609
263,5,13,0.5799463987350464
264,5,14,0.5581414699554443
265,5,15,0.4474340677261352
266,5,16,0.5621103644371033
267,5,17,0.2152932286262512
268,5,18,0.5799310207366943
269,5,19,0.4876752495765686
270,5,20,0.5728287100791931
271,5,21,0.584530234336853
272,5,22,0.5958597660064697
273,5,23,0.4858372807502746
274,5,24,0.6114746332168579
275,5,25,0.8068687915802002
276,5,26,0.5743436813354492
277,5,27,0.5091809034347534
278,5,28,0.5700634717941284
279,5,29,0.6174720525741577
280,5,30,0.6064525842666626
281,5,31,0.4921374917030334
282,5,32,0.5474193692207336
283,5,33,0.6735278964042664
284,5,34,0.6683531999588013
285,5,35,0.6027954816818237
286,5,36,0.6932771801948547
287,5,37,0.5878950357437134
288,5,38,0.6885718703269958
289,5,39,0.6733352541923523
290,5,40,0.583348274230957
291,5,41,0.5450630784034729
292,5,42,0.6081632375717163
293,5,43,0.5244722962379456
294,5,44,0.6252267956733704
295,5,45,0.6306301951408386
296,5,46,0.7103809714317322
297,5,47,0.533253014087677
298,5,48,0.5301834344863892
299,5,49,0.5701629519462585
300,6,0,0.6078769564628601
301,6,1,0.7028111815452576
302,6,2,0.7543919682502747
303,6,3,0.7042921185493469
304,6,4,0.5771677494049072
305,6,5,0.5172632336616516
306,6,6,1.0000001192092896
307,6,7,0.652530312538147
308,6,8,0.7884638905525208
309,6,9,0.6179327964782715
310,6,10,0.6552684903144836
311,6,11,0.4515843391418457
312,6,12,0.6279442310333252
313,6,13,0.5906867980957031
314,6,14,0.6716094017028809
315,6,15,0.8705348968505859
316,6,16,0.6453317999839783
317,6,17,0.2937944829463959
318,6,18,0.7103495597839355
319,6,19,0.6234674453735352
320,6,20,0.6109895706176758
321,6,21,0.7048734426498413
322,6,22,0.6696524620056152
323,6,23,0.5487164258956909
324,6,24,0.748690664768219
325,6,25,0.601181149482727
326,6,26,0.7542898058891296
327,6,27,0.7211353182792664
328,6,28,0.7033030390739441
329,6,29,0.611432671546936
330,6,30,0.8294631242752075
331,6,31,0.7237004041671753
332,6,32,0.6734343767166138
333,6,33,0.7720168828964233
334,6,34,0.6010056734085083
335,6,35,0.6581511497497559
336,6,36,0.6088833808898926
337,6,37,0.6725704073905945
338,6,38,0.5396279692649841
339,6,39,0.6266931295394897
340,6,40,0.680796205997467
341,6,41,0.6056763529777527
342,6,42,0.5148824453353882
343,6,43,0.7169052958488464
344,6,44,0.6179059743881226
345,6,45,0.6054813265800476
346,6,46,0.5684078335762024
347,6,47,0.4321350157260895
348,6,48,0.6717162132263184
349,6,49,0.6360593438148499
350,7,0,0.7490972876548767
351,7,1,0.8228369951248169
352,7,2,0.6898555159568787
353,7,3,0.687610387802124
354,7,4,0.7501407861709595
355,7,5,0.6494585275650024
356,7,6,0.652530312538147
357,7,7,0.9999998807907104
358,7,8,0.7052475214004517
359,7,9,0.7501713633537292
360,7,10,0.7914206385612488
361,7,11,0.6879311800003052
362,7,12,0.7441293001174927
363,7,13,0.7725359201431274
364,7,14,0.759502649307251
365,7,15,0.6651561260223389
366,7,16,0.774621844291687
367,7,17,0.457829475402832
368,7,18,0.7079769968986511
369,7,19,0.7346564531326294
370,7,20,0.7377640008926392
371,7,21,0.7855767011642456
372,7,22,0.7491823434829712
373,7,23,0.6389848589897156
374,7,24,0.7761774659156799
375,7,25,0.6564674377441406
376,7,26,0.7227357029914856
377,7,27,0.7267480492591858
378,7,28,0.7977956533432007
379,7,29,0.7305586338043213
380,7,30,0.7398220300674438
381,7,31,0.6613900661468506
382,7,32,0.7300840020179749
383,7,33,0.830582320690155
384,7,34,0.6500455737113953
385,7,35,0.806483268737793
386,7,36,0.7602240443229675
387,7,37,0.7792075872421265
388,7,38,0.5901055335998535
389,7,39,0.8675309419631958
390,7,40,0.7551597356796265
391,7,41,0.7226561903953552
392,7,42,0.6956526041030884
393,7,43,0.7410889863967896
394,7,44,0.7894366383552551
395,7,45,0.7636282444000244
396,7,46,0.7004784345626831
397,7,47,0.5746647119522095
398,7,48,0.7969506978988647
399,7,49,0.7996631860733032
400,8,0,0.6579791903495789
401,8,1,0.7262454032897949
402,8,2,0.6671260595321655
403,8,3,0.6622834205627441
404,8,4,0.6430380344390869
405,8,5,0.4947317838668823
406,8,6,0.7884638905525208
407,8,7,0.7052475214004517
408,8,8,1.0000001192092896
409,8,9,0.7385638952255249
410,8,10,0.6726884841918945
411,8,11,0.5713334083557129
412,8,12,0.6348796486854553
413,8,13,0.6172845959663391
414,8,14,0.6987140774726868
415,8,15,0.888778805732727
416,8,16,0.7245956659317017
417,8,17,0.4309287071228027
418,8,18,0.6805520057678223
419,8,19,0.6127939820289612
420,8,20,0.5585072040557861
421,8,21,0.7677628993988037
422,8,22,0.716343879699707
423,8,23,0.6120210289955139
424,8,24,0.745776355266571
425,8,25,0.6150568127632141
426,8,26,0.7032052278518677
427,8,27,0.7524567246437073
428,8,28,0.6680693626403809
429,8,29,0.72361159324646
430,8,30,0.8226810693740845
431,8,31,0.6585642099380493
432,8,32,0.7259066104888916
433,8,33,0.7409507632255554
434,8,34,0.6482503414154053
435,8,35,0.6639373302459717
436,8,36,0.632527232170105
437,8,37,0.6731510758399963
438,8,38,0.6225947141647339
439,8,39,0.6502919793128967
440,8,40,0.7132704257965088
441,8,41,0.6282041668891907
442,8,42,0.6214460134506226
443,8,43,0.7127323746681213
444,8,44,0.6164633631706238
445,8,45,0.7437998056411743
446,8,46,0.657096266746521
447,8,47,0.543408989906311
448,8,48,0.6763140559196472
449,8,49,0.6791613101959229
450,9,0,0.7223352193832397
451,9,1,0.7221770882606506
452,9,2,0.7532936334609985
453,9,3,0.6244860887527466
454,9,4,0.6908431053161621
455,9,5,0.5561832189559937
456,9,6,0.6179327964782715
457,9,7,0.7501713633537292
458,9,8,0.7385638952255249
459,9,9,1.000000238418579
460,9,10,0.7906121611595154
461,9,11,0.6356594562530518
462,9,12,0.726769208908081
463,9,13,0.7153832316398621
464,9,14,0.8179453015327454
465,9,15,0.6510365605354309
466,9,16,0.793398380279541
467,9,17,0.4875208139419555
468,9,18,0.7043114900588989
469,9,19,0.597323477268219
470,9,20,0.5843093395233154
471,9,21,0.787375271320343
472,9,22,0.7711838483810425
473,9,23,0.6737403273582458
474,9,24,0.7699300646781921
475,9,25,0.6452604532241821
476,9,26,0.6918813586235046
477,9,27,0.740746259689331
478,9,28,0.7387943267822266
479,9,29,0.7564631700515747
480,9,30,0.7305029630661011
481,9,31,0.6638481616973877
482,9,32,0.7673138380050659
483,9,33,0.7429447770118713
484,9,34,0.6492998600006104
485,9,35,0.7249054908752441
486,9,36,0.7228720188140869
487,9,37,0.7277371287345886
488,9,38,0.6251382827758789
489,9,39,0.7258826494216919
490,9,40,0.7844593524932861
491,9,41,0.7205554246902466
492,9,42,0.6850562691688538
493,9,43,0.695172905921936
494,9,44,0.7071260213851929
495,9,45,0.749352216720581
496,9,46,0.6895346641540527
497,9,47,0.5241470336914062
498,9,48,0.7260025143623352
499,9,49,0.7204340696334839
500,10,0,0.784769594669342
501,10,1,0.8046852350234985
502,10,2,0.7856279611587524
503,10,3,0.7484524846076965
504,10,4,0.832298994064331
505,10,5,0.6833539605140686
506,10,6,0.6552684903144836
507,10,7,0.7914206385612488
508,10,8,0.6726884841918945
509,10,9,0.7906121611595154
510,10,10,0.9999997615814208
511,10,11,0.6836627125740051
512,10,12,0.7685586214065552
513,10,13,0.7835777401924133
514,10,14,0.8210856318473816
515,10,15,0.6305884122848511
516,10,16,0.8148020505905151
517,10,17,0.3742312490940094
518,10,18,0.8096535801887512
519,10,19,0.6864105463027954
520,10,20,0.6974716782569885
521,10,21,0.7707536816596985
522,10,22,0.8255775570869446
523,10,23,0.6067286133766174
524,10,24,0.8511719703674316
525,10,25,0.7356590032577515
526,10,26,0.7597330808639526
527,10,27,0.7972274422645569
528,10,28,0.7770003080368042
529,10,29,0.7538920044898987
530,10,30,0.784152090549469
531,10,31,0.6708032488822937
532,10,32,0.772932231426239
533,10,33,0.8365474343299866
534,10,34,0.7680970430374146
535,10,35,0.8096147775650024
536,10,36,0.8607398271560669
537,10,37,0.7910943031311035
538,10,38,0.7534774541854858
539,10,39,0.8314507603645325
540,10,40,0.822651743888855
541,10,41,0.7271323204040527
542,10,42,0.6758734583854675
543,10,43,0.7594850063323975
544,10,44,0.8375388383865356
545,10,45,0.7687786817550659
546,10,46,0.8202909827232361
547,10,47,0.5578339695930481
548,10,48,0.741603672504425
549,10,49,0.7973036170005798
550,11,0,0.661041259765625
551,11,1,0.6052936315536499
552,11,2,0.4808975458145141
553,11,3,0.4747366309165954
554,11,4,0.6306241750717163
555,11,5,0.5368648171424866
556,11,6,0.4515843391418457
557,11,7,0.6879311800003052
558,11,8,0.5713334083557129
559,11,9,0.6356594562530518
560,11,10,0.6836627125740051
561,11,11,1.0000003576278689
562,11,12,0.6073119044303894
563,11,13,0.6328964829444885
564,11,14,0.6592419743537903
565,11,15,0.4773402810096741
566,11,16,0.6319988369941711
567,11,17,0.4805498123168945
568,11,18,0.5638437271118164
569,11,19,0.6785539388656616
570,11,20,0.6816439628601074
571,11,21,0.7020199298858643
572,11,22,0.600436806678772
573,11,23,0.5522611141204834
574,11,24,0.5905817747116089
575,11,25,0.5178381204605103
576,11,26,0.510555624961853
577,11,27,0.6281962990760803
578,11,28,0.6368324160575867
579,11,29,0.6904894113540649
580,11,30,0.5819761753082275
581,11,31,0.5017786622047424
582,11,32,0.5587636828422546
583,11,33,0.7015073299407959
584,11,34,0.5601047277450562
585,11,35,0.6566176414489746
586,11,36,0.6272764205932617
587,11,37,0.6615984439849854
588,11,38,0.5429738163948059
589,11,39,0.6987529397010803
590,11,40,0.6281790733337402
591,11,41,0.6020910739898682
592,11,42,0.6575582027435303
593,11,43,0.5263322591781616
594,11,44,0.767848014831543
595,11,45,0.7554609775543213
596,11,46,0.6263161301612854
597,11,47,0.5341423749923706
598,11,48,0.6238426566123962
599,11,49,0.6740328073501587
600,12,0,0.7611554265022278
601,12,1,0.8015841841697693
602,12,2,0.6906731128692627
603,12,3,0.6425060033798218
604,12,4,0.6744300127029419
605,12,5,0.6162319183349609
606,12,6,0.6279442310333252
607,12,7,0.7441293001174927
608,12,8,0.6348796486854553
609,12,9,0.726769208908081
610,12,10,0.7685586214065552
611,12,11,0.6073119044303894
612,12,12,0.9999997615814208
613,12,13,0.700913667678833
614,12,14,0.7044539451599121
615,12,15,0.5833346247673035
616,12,16,0.7239664793014526
617,12,17,0.4640051424503326
618,12,18,0.6584821343421936
619,12,19,0.6588510870933533
620,12,20,0.6711605191230774
621,12,21,0.6874107122421265
622,12,22,0.7059191465377808
623,12,23,0.5807018876075745
624,12,24,0.7549260854721069
625,12,25,0.5885667204856873
626,12,26,0.7091792821884155
627,12,27,0.6986928582191467
628,12,28,0.6990020275115967
629,12,29,0.6330945491790771
630,12,30,0.7132483720779419
631,12,31,0.6163051128387451
632,12,32,0.6294811964035034
633,12,33,0.7884385585784912
634,12,34,0.6783164739608765
635,12,35,0.7104318141937256
636,12,36,0.7987008094787598
637,12,37,0.789730966091156
638,12,38,0.6873488426208496
639,12,39,0.7371077537536621
640,12,40,0.737951934337616
641,12,41,0.6036044359207153
642,12,42,0.6006350517272949
643,12,43,0.6514091491699219
644,12,44,0.7844893336296082
645,12,45,0.6227620840072632
646,12,46,0.7194528579711914
647,12,47,0.4262885451316833
648,12,48,0.7281031608581543
649,12,49,0.7277164459228516
650,13,0,0.7171460390090942
651,13,1,0.8266419172286987
652,13,2,0.6659066081047058
653,13,3,0.6525583267211914
654,13,4,0.727368175983429
655,13,5,0.5799463987350464
656,13,6,0.5906867980957031
657,13,7,0.7725359201431274
658,13,8,0.6172845959663391
659,13,9,0.7153832316398621
660,13,10,0.7835777401924133
661,13,11,0.6328964829444885
662,13,12,0.700913667678833
663,13,13,1.0000001192092896
664,13,14,0.7273790240287781
665,13,15,0.561741828918457
666,13,16,0.8510767221450806
667,13,17,0.3501551747322082
668,13,18,0.7096209526062012
669,13,19,0.6650714874267578
670,13,20,0.651227593421936
671,13,21,0.737402081489563
672,13,22,0.6737716794013977
673,13,23,0.5847710371017456
674,13,24,0.7716905474662781
675,13,25,0.6657199859619141
676,13,26,0.6510137319564819
677,13,27,0.6996702551841736
678,13,28,0.7635507583618164
679,13,29,0.7860333323478699
680,13,30,0.7502296566963196
681,13,31,0.672160267829895
682,13,32,0.6883320808410645
683,13,33,0.7506586313247681
684,13,34,0.65960693359375
685,13,35,0.7168270945549011
686,13,36,0.7518054842948914
687,13,37,0.854238748550415
688,13,38,0.5952216982841492
689,13,39,0.7520003914833069
690,13,40,0.678240180015564
691,13,41,0.6511408090591431
692,13,42,0.5699841380119324
693,13,43,0.6530880928039551
694,13,44,0.7515755295753479
695,13,45,0.792142391204834
696,13,46,0.676039457321167
697,13,47,0.5846399068832397
698,13,48,0.7936265468597412
699,13,49,0.8926140069961548
700,14,0,0.6524953246116638
701,14,1,0.7140858173370361
702,14,2,0.7564636468887329
703,14,3,0.7499880194664001
704,14,4,0.729739248752594
705,14,5,0.5581414699554443
706,14,6,0.6716094017028809
707,14,7,0.759502649307251
708,14,8,0.6987140774726868
709,14,9,0.8179453015327454
710,14,10,0.8210856318473816
711,14,11,0.6592419743537903
712,14,12,0.7044539451599121
713,14,13,0.7273790240287781
714,14,14,1.0000001192092896
715,14,15,0.6782760620117188
716,14,16,0.8247238993644714
717,14,17,0.4816823303699493
718,14,18,0.7389582395553589
719,14,19,0.5624403357505798
720,14,20,0.5828899145126343
721,14,21,0.8037236928939819
722,14,22,0.7784121036529541
723,14,23,0.6621154546737671
724,14,24,0.8318592309951782
725,14,25,0.6099069714546204
726,14,26,0.7358295321464539
727,14,27,0.7356589436531067
728,14,28,0.7369794845581055
729,14,29,0.7489384412765503
730,14,30,0.7762042880058289
731,14,31,0.6619960069656372
732,14,32,0.7696113586425781
733,14,33,0.8042232990264893
734,14,34,0.6391484141349792
735,14,35,0.7853715419769287
736,14,36,0.721470832824707
737,14,37,0.743504524230957
738,14,38,0.683119535446167
739,14,39,0.754785418510437
740,14,40,0.870979905128479
741,14,41,0.8824350833892822
742,14,42,0.7805415987968445
743,14,43,0.7551273107528687
744,14,44,0.7463837265968323
745,14,45,0.7709848880767822
746,14,46,0.7730842232704163
747,14,47,0.5171138644218445
748,14,48,0.7474547028541565
749,14,49,0.7604150772094727
750,15,0,0.6180611848831177
751,15,1,0.6465793251991272
752,15,2,0.7187445759773254
753,15,3,0.6463265419006348
754,15,4,0.589167594909668
755,15,5,0.4474340677261352
756,15,6,0.8705348968505859
757,15,7,0.6651561260223389
758,15,8,0.888778805732727
759,15,9,0.6510365605354309
760,15,10,0.6305884122848511
761,15,11,0.4773402810096741
762,15,12,0.5833346247673035
763,15,13,0.561741828918457
764,15,14,0.6782760620117188
765,15,15,1.000000238418579
766,15,16,0.6582245826721191
767,15,17,0.4065769016742706
768,15,18,0.6899795532226562
769,15,19,0.5839489698410034
770,15,20,0.5602144002914429
771,15,21,0.7309820652008057
772,15,22,0.6750485897064209
773,15,23,0.5672883987426758
774,15,24,0.7486129999160767
775,15,25,0.5700088739395142
776,15,26,0.6860538721084595
777,15,27,0.7543205618858337
778,15,28,0.6950802803039551
779,15,29,0.5998411774635315
780,15,30,0.7999366521835327
781,15,31,0.7009255290031433
782,15,32,0.6694706082344055
783,15,33,0.73508220911026
784,15,34,0.5691240429878235
785,15,35,0.6398581862449646
786,15,36,0.575567364692688
787,15,37,0.6350859999656677
788,15,38,0.5506824851036072
789,15,39,0.5907797813415527
790,15,40,0.6863898038864136
791,15,41,0.6748006939888
792,15,42,0.5893340110778809
793,15,43,0.6971389055252075
794,15,44,0.5881105065345764
795,15,45,0.6390857100486755
796,15,46,0.5793800354003906
797,15,47,0.4237494468688965
798,15,48,0.6697050333023071
799,15,49,0.6005932092666626
800,16,0,0.7345772385597229
801,16,1,0.7766854763031006
802,16,2,0.7642286419868469
803,16,3,0.6790275573730469
804,16,4,0.7515089511871338
805,16,5,0.5621103644371033
806,16,6,0.6453317999839783
807,16,7,0.774621844291687
808,16,8,0.7245956659317017
809,16,9,0.793398380279541
810,16,10,0.8148020505905151
811,16,11,0.6319988369941711
812,16,12,0.7239664793014526
813,16,13,0.8510767221450806
814,16,14,0.8247238993644714
815,16,15,0.6582245826721191
816,16,16,1.0
817,16,17,0.4178908169269562
818,16,18,0.805608868598938
819,16,19,0.6250828504562378
820,16,20,0.6300206184387207
821,16,21,0.7924965023994446
822,16,22,0.8308079838752747
823,16,23,0.7000083327293396
824,16,24,0.8942354917526245
825,16,25,0.6660146713256836
826,16,26,0.6958997249603271
827,16,27,0.8161300420761108
828,16,28,0.7471150755882263
829,16,29,0.8151893615722656
830,16,30,0.7945022583007812
831,16,31,0.7200404405593872
832,16,32,0.7916528582572937
833,16,33,0.7732434272766113
834,16,34,0.7044847011566162
835,16,35,0.7498692870140076
836,16,36,0.7820559740066528
837,16,37,0.8359048366546631
838,16,38,0.689973771572113
839,16,39,0.7498588562011719
840,16,40,0.7916104197502136
841,16,41,0.746917724609375
842,16,42,0.6630311012268066
843,16,43,0.7051931023597717
844,16,44,0.726134181022644
845,16,45,0.8203300833702087
846,16,46,0.7804278135299683
847,16,47,0.5891900062561035
848,16,48,0.8104899525642395
849,16,49,0.8154042959213257
850,17,0,0.3760159611701965
851,17,1,0.3586620092391968
852,17,2,0.3142497539520263
853,17,3,0.3127842247486114
854,17,4,0.4620605707168579
855,17,5,0.2152932286262512
856,17,6,0.2937944829463959
857,17,7,0.457829475402832
858,17,8,0.4309287071228027
859,17,9,0.4875208139419555
860,17,10,0.3742312490940094
861,17,11,0.4805498123168945
862,17,12,0.4640051424503326
